"clust","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"1","14.656876241167755","interacts with","109 (interacts with) 9290","false","interacts with","109 (interacts with) 9290"
"1","21.202911807820254","interacts with","109 (interacts with) 9778","false","interacts with","109 (interacts with) 9778"
"1","17.682738255430372","interacts with","109 (interacts with) 10144","false","interacts with","109 (interacts with) 10144"
"1","16.002446874054428","interacts with","109 (interacts with) 11300","false","interacts with","109 (interacts with) 11300"
"1","8.299606836469295","interacts with","109 (interacts with) 11555","false","interacts with","109 (interacts with) 11555"
"1","7.6479060441281","interacts with","109 (interacts with) 11594","false","interacts with","109 (interacts with) 11594"
"1","8.740784643132692","interacts with","109 (interacts with) 11932","false","interacts with","109 (interacts with) 11932"
"1","5.913208397171195","interacts with","109 (interacts with) 11982","false","interacts with","109 (interacts with) 11982"
"2","13.818495831237966","interacts with","109 (interacts with) 12027","false","interacts with","109 (interacts with) 12027"
"1","23.98586802273756","interacts with","109 (interacts with) 12643","false","interacts with","109 (interacts with) 12643"
"1","26.22112365165856","interacts with","109 (interacts with) 13411","false","interacts with","109 (interacts with) 13411"
"1","18.649283563599404","interacts with","109 (interacts with) 13448","false","interacts with","109 (interacts with) 13448"
"2","10.503428070051786","interacts with","109 (interacts with) 13568","false","interacts with","109 (interacts with) 13568"
"1","7.509924547053162","interacts with","109 (interacts with) 14851","false","interacts with","109 (interacts with) 14851"
"1","12.591913641913635","interacts with","189 (interacts with) 427","false","interacts with","189 (interacts with) 427"
"2","20.7093558882269","interacts with","189 (interacts with) 440","false","interacts with","189 (interacts with) 440"
"1","21.140894294185824","interacts with","189 (interacts with) 566","false","interacts with","189 (interacts with) 566"
"16","46.981929822594324","interacts with","189 (interacts with) 871","false","interacts with","189 (interacts with) 871"
"2","22.291032528927794","interacts with","189 (interacts with) 939","false","interacts with","189 (interacts with) 939"
"1","10.545039754440308","interacts with","189 (interacts with) 1205","false","interacts with","189 (interacts with) 1205"
"1","11.958425388506914","interacts with","189 (interacts with) 2044","false","interacts with","189 (interacts with) 2044"
"1","26.47078558147549","interacts with","189 (interacts with) 2164","false","interacts with","189 (interacts with) 2164"
"1","11.13849237539505","interacts with","189 (interacts with) 2618","false","interacts with","189 (interacts with) 2618"
"1","10.807582026390076","interacts with","189 (interacts with) 2623","false","interacts with","189 (interacts with) 2623"
"5","33.94685398731565","interacts with","189 (interacts with) 3500","false","interacts with","189 (interacts with) 3500"
"1","19.94380561258323","interacts with","189 (interacts with) 3681","false","interacts with","189 (interacts with) 3681"
"1","11.14464681345486","interacts with","189 (interacts with) 3756","false","interacts with","189 (interacts with) 3756"
"6","15.402690970953792","interacts with","189 (interacts with) 3762","false","interacts with","189 (interacts with) 3762"
"1","15.856915795351647","interacts with","189 (interacts with) 4640","false","interacts with","189 (interacts with) 4640"
"1","12.644491340652323","interacts with","189 (interacts with) 4642","false","interacts with","189 (interacts with) 4642"
"1","11.386945709737128","interacts with","189 (interacts with) 5116","false","interacts with","189 (interacts with) 5116"
"1","26.184861883838877","interacts with","189 (interacts with) 5419","false","interacts with","189 (interacts with) 5419"
"1","12.220672654770727","interacts with","189 (interacts with) 6066","false","interacts with","189 (interacts with) 6066"
"1","16.64019075401509","interacts with","189 (interacts with) 6540","false","interacts with","189 (interacts with) 6540"
"1","13.87429379405654","interacts with","189 (interacts with) 6655","false","interacts with","189 (interacts with) 6655"
"1","11.28280145013678","interacts with","189 (interacts with) 6666","false","interacts with","189 (interacts with) 6666"
"1","16.47686783655934","interacts with","189 (interacts with) 6837","false","interacts with","189 (interacts with) 6837"
"4","40.879003616009456","interacts with","189 (interacts with) 7980","false","interacts with","189 (interacts with) 7980"
"2","9.976861440584868","interacts with","189 (interacts with) 8034","false","interacts with","189 (interacts with) 8034"
"1","27.515663298364977","interacts with","189 (interacts with) 8658","false","interacts with","189 (interacts with) 8658"
"1","10.429356780579015","interacts with","189 (interacts with) 8854","false","interacts with","189 (interacts with) 8854"
"1","12.777020413460038","interacts with","189 (interacts with) 9304","false","interacts with","189 (interacts with) 9304"
"2","13.783828143363262","interacts with","189 (interacts with) 9311","false","interacts with","189 (interacts with) 9311"
"1","16.48170271595275","interacts with","189 (interacts with) 10144","false","interacts with","189 (interacts with) 10144"
"1","17.22894562720457","interacts with","189 (interacts with) 10591","false","interacts with","189 (interacts with) 10591"
"1","9.673425224586214","interacts with","189 (interacts with) 10847","false","interacts with","189 (interacts with) 10847"
"1","10.131740442959355","interacts with","189 (interacts with) 10987","false","interacts with","189 (interacts with) 10987"
"1","11.135874880642005","interacts with","189 (interacts with) 11019","false","interacts with","189 (interacts with) 11019"
"1","13.182258646066689","interacts with","189 (interacts with) 11316","false","interacts with","189 (interacts with) 11316"
"1","9.767833155957021","interacts with","189 (interacts with) 11683","false","interacts with","189 (interacts with) 11683"
"1","11.635328227432817","interacts with","189 (interacts with) 11838","false","interacts with","189 (interacts with) 11838"
"4","17.268701715705","interacts with","189 (interacts with) 12643","false","interacts with","189 (interacts with) 12643"
"1","14.188943482397883","interacts with","189 (interacts with) 12707","false","interacts with","189 (interacts with) 12707"
"1","9.827397812516306","interacts with","189 (interacts with) 13286","false","interacts with","189 (interacts with) 13286"
"2","20.551462973524753","interacts with","189 (interacts with) 13411","false","interacts with","189 (interacts with) 13411"
"2","18.80111845946321","interacts with","189 (interacts with) 13448","false","interacts with","189 (interacts with) 13448"
"1","14.308912922987322","interacts with","189 (interacts with) 13569","false","interacts with","189 (interacts with) 13569"
"2","10.2354050466118","interacts with","189 (interacts with) 13865","false","interacts with","189 (interacts with) 13865"
"2","10.741488075820419","interacts with","189 (interacts with) 13869","false","interacts with","189 (interacts with) 13869"
"1","11.44050373657117","interacts with","189 (interacts with) 14368","false","interacts with","189 (interacts with) 14368"
"1","17.38411311855724","interacts with","189 (interacts with) 14371","false","interacts with","189 (interacts with) 14371"
"1","25.930858426254446","interacts with","327 (interacts with) 440","false","interacts with","327 (interacts with) 440"
"5","93.7191797185478","interacts with","327 (interacts with) 871","false","interacts with","327 (interacts with) 871"
"2","17.255901032021978","interacts with","327 (interacts with) 873","false","interacts with","327 (interacts with) 873"
"2","38.7235102418257","interacts with","327 (interacts with) 939","false","interacts with","327 (interacts with) 939"
"1","9.850361846994158","interacts with","327 (interacts with) 1205","false","interacts with","327 (interacts with) 1205"
"1","10.680447170271798","interacts with","327 (interacts with) 1372","false","interacts with","327 (interacts with) 1372"
"1","26.89931929668223","interacts with","327 (interacts with) 2010","false","interacts with","327 (interacts with) 2010"
"1","17.611035576045577","interacts with","327 (interacts with) 3038","false","interacts with","327 (interacts with) 3038"
"1","9.641392416060127","interacts with","327 (interacts with) 3462","false","interacts with","327 (interacts with) 3462"
"1","9.040448914502097","interacts with","327 (interacts with) 3924","false","interacts with","327 (interacts with) 3924"
"1","8.759371208678093","interacts with","327 (interacts with) 4907","false","interacts with","327 (interacts with) 4907"
"1","39.35586971670762","interacts with","327 (interacts with) 5419","false","interacts with","327 (interacts with) 5419"
"3","17.694194950657522","interacts with","327 (interacts with) 6655","false","interacts with","327 (interacts with) 6655"
"1","8.555656979759144","interacts with","327 (interacts with) 6804","false","interacts with","327 (interacts with) 6804"
"2","19.44419274059938","interacts with","327 (interacts with) 6837","false","interacts with","327 (interacts with) 6837"
"1","34.575773840238696","interacts with","327 (interacts with) 8069","false","interacts with","327 (interacts with) 8069"
"1","9.387737862698485","interacts with","327 (interacts with) 8272","false","interacts with","327 (interacts with) 8272"
"1","7.15730846686994","interacts with","327 (interacts with) 8443","false","interacts with","327 (interacts with) 8443"
"4","48.75520237169374","interacts with","327 (interacts with) 8658","false","interacts with","327 (interacts with) 8658"
"1","20.539686574747133","interacts with","327 (interacts with) 9178","false","interacts with","327 (interacts with) 9178"
"1","30.495095375697844","interacts with","327 (interacts with) 10591","false","interacts with","327 (interacts with) 10591"
"3","14.457067481837683","interacts with","327 (interacts with) 10987","false","interacts with","327 (interacts with) 10987"
"2","17.499614306076886","interacts with","327 (interacts with) 11683","false","interacts with","327 (interacts with) 11683"
"1","10.302545794230554","interacts with","327 (interacts with) 11750","false","interacts with","327 (interacts with) 11750"
"4","7.110936941938044","interacts with","327 (interacts with) 11890","false","interacts with","327 (interacts with) 11890"
"1","13.317043991725974","interacts with","327 (interacts with) 13441","false","interacts with","327 (interacts with) 13441"
"1","26.607363590913774","interacts with","327 (interacts with) 13448","false","interacts with","327 (interacts with) 13448"
"4","16.474685136057076","interacts with","327 (interacts with) 13569","false","interacts with","327 (interacts with) 13569"
"4","8.34921135089611","interacts with","327 (interacts with) 14081","false","interacts with","327 (interacts with) 14081"
"2","73.74886753973468","interacts with","390 (interacts with) 871","false","interacts with","390 (interacts with) 871"
"1","17.064480942762007","interacts with","390 (interacts with) 873","false","interacts with","390 (interacts with) 873"
"1","35.29491322139464","interacts with","390 (interacts with) 939","false","interacts with","390 (interacts with) 939"
"1","11.019122321242389","interacts with","390 (interacts with) 1028","false","interacts with","390 (interacts with) 1028"
"1","22.946689067819108","interacts with","390 (interacts with) 1460","false","interacts with","390 (interacts with) 1460"
"1","12.586409593792812","interacts with","390 (interacts with) 1807","false","interacts with","390 (interacts with) 1807"
"1","11.045289979573232","interacts with","390 (interacts with) 2092","false","interacts with","390 (interacts with) 2092"
"1","38.30617366862195","interacts with","390 (interacts with) 2164","false","interacts with","390 (interacts with) 2164"
"1","10.060921251586208","interacts with","390 (interacts with) 2618","false","interacts with","390 (interacts with) 2618"
"1","12.359503269487785","interacts with","390 (interacts with) 2653","false","interacts with","390 (interacts with) 2653"
"2","50.48821903790961","interacts with","390 (interacts with) 3500","false","interacts with","390 (interacts with) 3500"
"1","10.861735741487385","interacts with","390 (interacts with) 4378","false","interacts with","390 (interacts with) 4378"
"1","12.837513088379952","interacts with","390 (interacts with) 5117","false","interacts with","390 (interacts with) 5117"
"1","10.528034146842195","interacts with","390 (interacts with) 6565","false","interacts with","390 (interacts with) 6565"
"1","11.861789821552035","interacts with","390 (interacts with) 7422","false","interacts with","390 (interacts with) 7422"
"1","13.734820403116936","interacts with","390 (interacts with) 7975","false","interacts with","390 (interacts with) 7975"
"2","62.113946904814085","interacts with","390 (interacts with) 7980","false","interacts with","390 (interacts with) 7980"
"1","41.02179261748944","interacts with","390 (interacts with) 8658","false","interacts with","390 (interacts with) 8658"
"1","18.68053683777942","interacts with","390 (interacts with) 8707","false","interacts with","390 (interacts with) 8707"
"1","12.900352157890183","interacts with","390 (interacts with) 9178","false","interacts with","390 (interacts with) 9178"
"2","10.760456264429918","interacts with","390 (interacts with) 9867","false","interacts with","390 (interacts with) 9867"
"1","23.123156457041233","interacts with","390 (interacts with) 10144","false","interacts with","390 (interacts with) 10144"
"1","9.728434206065781","interacts with","390 (interacts with) 11497","false","interacts with","390 (interacts with) 11497"
"1","14.453692358645908","interacts with","390 (interacts with) 11683","false","interacts with","390 (interacts with) 11683"
"2","30.662444003310878","interacts with","390 (interacts with) 13411","false","interacts with","390 (interacts with) 13411"
"1","16.718245463894938","interacts with","390 (interacts with) 13568","false","interacts with","390 (interacts with) 13568"
"1","12.88147523676935","interacts with","390 (interacts with) 14368","false","interacts with","390 (interacts with) 14368"
"5","104.78459221937499","interacts with","427 (interacts with) 871","false","interacts with","427 (interacts with) 871"
"1","7.823730459238749","interacts with","427 (interacts with) 1683","false","interacts with","427 (interacts with) 1683"
"1","11.516296568928144","interacts with","427 (interacts with) 1887","false","interacts with","427 (interacts with) 1887"
"3","52.344995885931375","interacts with","427 (interacts with) 2164","false","interacts with","427 (interacts with) 2164"
"1","69.65417363801522","interacts with","427 (interacts with) 3500","false","interacts with","427 (interacts with) 3500"
"1","27.24174059699009","interacts with","427 (interacts with) 3762","false","interacts with","427 (interacts with) 3762"
"1","11.092786802569407","interacts with","427 (interacts with) 4717","false","interacts with","427 (interacts with) 4717"
"1","30.13673177691361","interacts with","427 (interacts with) 6837","false","interacts with","427 (interacts with) 6837"
"4","85.31984824118986","interacts with","427 (interacts with) 7980","false","interacts with","427 (interacts with) 7980"
"1","16.281293608925182","interacts with","427 (interacts with) 9178","false","interacts with","427 (interacts with) 9178"
"1","15.089113206519178","interacts with","427 (interacts with) 10610","false","interacts with","427 (interacts with) 10610"
"3","17.645194511370978","interacts with","427 (interacts with) 11440","false","interacts with","427 (interacts with) 11440"
"2","20.909225861857433","interacts with","427 (interacts with) 11683","false","interacts with","427 (interacts with) 11683"
"1","10.354258256476188","interacts with","427 (interacts with) 11977","false","interacts with","427 (interacts with) 11977"
"1","14.859921000052571","interacts with","427 (interacts with) 12167","false","interacts with","427 (interacts with) 12167"
"1","38.851514117690634","interacts with","427 (interacts with) 12643","false","interacts with","427 (interacts with) 12643"
"1","41.90826531958615","interacts with","427 (interacts with) 13411","false","interacts with","427 (interacts with) 13411"
"1","9.620382838450066","interacts with","427 (interacts with) 13999","false","interacts with","427 (interacts with) 13999"
"2","7.915204114282389","interacts with","427 (interacts with) 14371","false","interacts with","427 (interacts with) 14371"
"2","23.669373303458855","interacts with","440 (interacts with) 566","false","interacts with","440 (interacts with) 566"
"1","16.963566042428162","interacts with","440 (interacts with) 585","false","interacts with","440 (interacts with) 585"
"1","17.44633654922605","interacts with","440 (interacts with) 648","false","interacts with","440 (interacts with) 648"
"2","23.295062136543432","interacts with","440 (interacts with) 711","false","interacts with","440 (interacts with) 711"
"2","20.430026085589724","interacts with","440 (interacts with) 810","false","interacts with","440 (interacts with) 810"
"30","45.60861999422972","interacts with","440 (interacts with) 871","false","interacts with","440 (interacts with) 871"
"1","15.653341364647593","interacts with","440 (interacts with) 873","false","interacts with","440 (interacts with) 873"
"2","29.7340808289092","interacts with","440 (interacts with) 926","false","interacts with","440 (interacts with) 926"
"4","23.040763728938927","interacts with","440 (interacts with) 939","false","interacts with","440 (interacts with) 939"
"1","37.67915716552656","interacts with","440 (interacts with) 1032","false","interacts with","440 (interacts with) 1032"
"3","17.605638534742585","interacts with","440 (interacts with) 1205","false","interacts with","440 (interacts with) 1205"
"2","35.0515567303493","interacts with","440 (interacts with) 1433","false","interacts with","440 (interacts with) 1433"
"1","16.37271622547906","interacts with","440 (interacts with) 1437","false","interacts with","440 (interacts with) 1437"
"3","17.037368869142476","interacts with","440 (interacts with) 1460","false","interacts with","440 (interacts with) 1460"
"3","18.85192562320262","interacts with","440 (interacts with) 1593","false","interacts with","440 (interacts with) 1593"
"2","19.564779818320734","interacts with","440 (interacts with) 1807","false","interacts with","440 (interacts with) 1807"
"5","17.164878775575215","interacts with","440 (interacts with) 2010","false","interacts with","440 (interacts with) 2010"
"1","25.423472655342124","interacts with","440 (interacts with) 2042","false","interacts with","440 (interacts with) 2042"
"4","27.6441884402145","interacts with","440 (interacts with) 2044","false","interacts with","440 (interacts with) 2044"
"4","31.19443052094883","interacts with","440 (interacts with) 2164","false","interacts with","440 (interacts with) 2164"
"1","23.160157513822707","interacts with","440 (interacts with) 2254","false","interacts with","440 (interacts with) 2254"
"1","30.111943696015302","interacts with","440 (interacts with) 2282","false","interacts with","440 (interacts with) 2282"
"3","26.242468363734265","interacts with","440 (interacts with) 2296","false","interacts with","440 (interacts with) 2296"
"2","17.613574198621244","interacts with","440 (interacts with) 2495","false","interacts with","440 (interacts with) 2495"
"1","32.830182338838654","interacts with","440 (interacts with) 2618","false","interacts with","440 (interacts with) 2618"
"1","25.435843210986686","interacts with","440 (interacts with) 2916","false","interacts with","440 (interacts with) 2916"
"2","16.6140216200238","interacts with","440 (interacts with) 3038","false","interacts with","440 (interacts with) 3038"
"1","19.188272652634886","interacts with","440 (interacts with) 3462","false","interacts with","440 (interacts with) 3462"
"7","34.95138967114414","interacts with","440 (interacts with) 3500","false","interacts with","440 (interacts with) 3500"
"4","23.05623331013186","interacts with","440 (interacts with) 3681","false","interacts with","440 (interacts with) 3681"
"1","22.499545774389347","interacts with","440 (interacts with) 3762","false","interacts with","440 (interacts with) 3762"
"1","24.13966531887891","interacts with","440 (interacts with) 3867","false","interacts with","440 (interacts with) 3867"
"1","26.979462793414488","interacts with","440 (interacts with) 3965","false","interacts with","440 (interacts with) 3965"
"2","26.5553162819929","interacts with","440 (interacts with) 4350","false","interacts with","440 (interacts with) 4350"
"3","19.684924749449138","interacts with","440 (interacts with) 4378","false","interacts with","440 (interacts with) 4378"
"1","25.338458024603536","interacts with","440 (interacts with) 4426","false","interacts with","440 (interacts with) 4426"
"1","27.36123866264198","interacts with","440 (interacts with) 4718","false","interacts with","440 (interacts with) 4718"
"4","20.113397176076","interacts with","440 (interacts with) 4804","false","interacts with","440 (interacts with) 4804"
"1","19.408095671239977","interacts with","440 (interacts with) 4846","false","interacts with","440 (interacts with) 4846"
"2","23.53937944169682","interacts with","440 (interacts with) 4907","false","interacts with","440 (interacts with) 4907"
"3","22.894155701383866","interacts with","440 (interacts with) 4913","false","interacts with","440 (interacts with) 4913"
"1","23.5428612462419","interacts with","440 (interacts with) 5111","false","interacts with","440 (interacts with) 5111"
"2","20.320398150554183","interacts with","440 (interacts with) 5117","false","interacts with","440 (interacts with) 5117"
"3","23.877389036685045","interacts with","440 (interacts with) 5419","false","interacts with","440 (interacts with) 5419"
"4","12.92565556533319","interacts with","440 (interacts with) 5496","false","interacts with","440 (interacts with) 5496"
"1","25.73954655957547","interacts with","440 (interacts with) 5523","false","interacts with","440 (interacts with) 5523"
"1","21.31268472983429","interacts with","440 (interacts with) 5669","false","interacts with","440 (interacts with) 5669"
"1","28.924280741618198","interacts with","440 (interacts with) 5944","false","interacts with","440 (interacts with) 5944"
"5","17.807224486604873","interacts with","440 (interacts with) 6066","false","interacts with","440 (interacts with) 6066"
